[2025-05-24T13:20:11.861+0000][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:20:11.861+0000][gc,task     ] GC(3) Using 10 workers of 10 for evacuation
[2025-05-24T13:20:11.878+0000][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.5ms
[2025-05-24T13:20:11.879+0000][gc,phases   ] GC(3)   Merge Heap Roots: 0.4ms
[2025-05-24T13:20:11.879+0000][gc,phases   ] GC(3)   Evacuate Collection Set: 13.8ms
[2025-05-24T13:20:11.880+0000][gc,phases   ] GC(3)   Post Evacuate Collection Set: 1.7ms
[2025-05-24T13:20:11.880+0000][gc,phases   ] GC(3)   Other: 0.7ms
[2025-05-24T13:20:11.880+0000][gc,heap     ] GC(3) Eden regions: 612->0(604)
[2025-05-24T13:20:11.881+0000][gc,heap     ] GC(3) Survivor regions: 2->10(77)
[2025-05-24T13:20:11.881+0000][gc,heap     ] GC(3) Old regions: 19->19
[2025-05-24T13:20:11.881+0000][gc,heap     ] GC(3) Humongous regions: 132->130
[2025-05-24T13:20:11.881+0000][gc,metaspace] GC(3) Metaspace: 12561K(12992K)->12561K(12992K) NonClass: 10937K(11136K)->10937K(11136K) Class: 1623K(1856K)->1623K(1856K)
[2025-05-24T13:20:11.881+0000][gc          ] GC(3) Pause Young (Normal) (G1 Evacuation Pause) 764M->158M(1024M) 20.394ms
[2025-05-24T13:20:11.882+0000][gc,cpu      ] GC(3) User=0.00s Sys=0.08s Real=0.02s
[2025-05-24T13:20:51.375+0000][gc,start    ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:20:51.376+0000][gc,task     ] GC(4) Using 10 workers of 10 for evacuation
[2025-05-24T13:20:51.387+0000][gc,phases   ] GC(4)   Pre Evacuate Collection Set: 0.5ms
[2025-05-24T13:20:51.387+0000][gc,phases   ] GC(4)   Merge Heap Roots: 0.2ms
[2025-05-24T13:20:51.388+0000][gc,phases   ] GC(4)   Evacuate Collection Set: 8.2ms
[2025-05-24T13:20:51.388+0000][gc,phases   ] GC(4)   Post Evacuate Collection Set: 1.7ms
[2025-05-24T13:20:51.388+0000][gc,phases   ] GC(4)   Other: 0.6ms
[2025-05-24T13:20:51.388+0000][gc,heap     ] GC(4) Eden regions: 604->0(599)
[2025-05-24T13:20:51.389+0000][gc,heap     ] GC(4) Survivor regions: 10->15(77)
[2025-05-24T13:20:51.389+0000][gc,heap     ] GC(4) Old regions: 19->19
[2025-05-24T13:20:51.389+0000][gc,heap     ] GC(4) Humongous regions: 131->130
[2025-05-24T13:20:51.389+0000][gc,metaspace] GC(4) Metaspace: 14166K(14592K)->14166K(14592K) NonClass: 12473K(12672K)->12473K(12672K) Class: 1693K(1920K)->1693K(1920K)
[2025-05-24T13:20:51.389+0000][gc          ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 763M->163M(1024M) 14.212ms
[2025-05-24T13:20:51.390+0000][gc,cpu      ] GC(4) User=0.03s Sys=0.05s Real=0.01s
[2025-05-24T13:21:22.124+0000][gc,start    ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:21:22.124+0000][gc,task     ] GC(5) Using 10 workers of 10 for evacuation
[2025-05-24T13:21:22.132+0000][gc,phases   ] GC(5)   Pre Evacuate Collection Set: 0.5ms
[2025-05-24T13:21:22.133+0000][gc,phases   ] GC(5)   Merge Heap Roots: 0.3ms
[2025-05-24T13:21:22.133+0000][gc,phases   ] GC(5)   Evacuate Collection Set: 5.0ms
[2025-05-24T13:21:22.133+0000][gc,phases   ] GC(5)   Post Evacuate Collection Set: 2.0ms
[2025-05-24T13:21:22.134+0000][gc,phases   ] GC(5)   Other: 0.4ms
[2025-05-24T13:21:22.134+0000][gc,heap     ] GC(5) Eden regions: 599->0(601)
[2025-05-24T13:21:22.134+0000][gc,heap     ] GC(5) Survivor regions: 15->13(77)
[2025-05-24T13:21:22.134+0000][gc,heap     ] GC(5) Old regions: 19->19
[2025-05-24T13:21:22.135+0000][gc,heap     ] GC(5) Humongous regions: 130->130
[2025-05-24T13:21:22.135+0000][gc,metaspace] GC(5) Metaspace: 14382K(14784K)->14382K(14784K) NonClass: 12683K(12864K)->12683K(12864K) Class: 1699K(1920K)->1699K(1920K)
[2025-05-24T13:21:22.135+0000][gc          ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 762M->161M(1024M) 11.230ms
[2025-05-24T13:21:22.135+0000][gc,cpu      ] GC(5) User=0.04s Sys=0.00s Real=0.01s
[2025-05-24T13:22:01.832+0000][gc,start    ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:22:01.833+0000][gc,task     ] GC(6) Using 10 workers of 10 for evacuation
[2025-05-24T13:22:01.840+0000][gc,phases   ] GC(6)   Pre Evacuate Collection Set: 0.4ms
[2025-05-24T13:22:01.840+0000][gc,phases   ] GC(6)   Merge Heap Roots: 0.3ms
[2025-05-24T13:22:01.840+0000][gc,phases   ] GC(6)   Evacuate Collection Set: 4.8ms
[2025-05-24T13:22:01.840+0000][gc,phases   ] GC(6)   Post Evacuate Collection Set: 1.2ms
[2025-05-24T13:22:01.840+0000][gc,phases   ] GC(6)   Other: 0.3ms
[2025-05-24T13:22:01.841+0000][gc,heap     ] GC(6) Eden regions: 601->0(600)
[2025-05-24T13:22:01.841+0000][gc,heap     ] GC(6) Survivor regions: 13->14(77)
[2025-05-24T13:22:01.841+0000][gc,heap     ] GC(6) Old regions: 19->19
[2025-05-24T13:22:01.841+0000][gc,heap     ] GC(6) Humongous regions: 130->130
[2025-05-24T13:22:01.841+0000][gc,metaspace] GC(6) Metaspace: 14505K(14848K)->14505K(14848K) NonClass: 12805K(12928K)->12805K(12928K) Class: 1699K(1920K)->1699K(1920K)
[2025-05-24T13:22:01.842+0000][gc          ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 762M->162M(1024M) 9.467ms
[2025-05-24T13:22:01.842+0000][gc,cpu      ] GC(6) User=0.04s Sys=0.01s Real=0.01s
[2025-05-24T13:22:41.579+0000][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[2025-05-24T13:22:41.579+0000][gc,task     ] GC(7) Using 10 workers of 10 for evacuation
[2025-05-24T13:22:41.586+0000][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.4ms
[2025-05-24T13:22:41.587+0000][gc,phases   ] GC(7)   Merge Heap Roots: 0.2ms
[2025-05-24T13:22:41.587+0000][gc,phases   ] GC(7)   Evacuate Collection Set: 4.4ms
[2025-05-24T13:22:41.587+0000][gc,phases   ] GC(7)   Post Evacuate Collection Set: 1.5ms
[2025-05-24T13:22:41.587+0000][gc,phases   ] GC(7)   Other: 0.3ms
[2025-05-24T13:22:41.587+0000][gc,heap     ] GC(7) Eden regions: 600->0(601)
[2025-05-24T13:22:41.587+0000][gc,heap     ] GC(7) Survivor regions: 14->13(77)
[2025-05-24T13:22:41.588+0000][gc,heap     ] GC(7) Old regions: 19->19
[2025-05-24T13:22:41.588+0000][gc,heap     ] GC(7) Humongous regions: 131->130
[2025-05-24T13:22:41.588+0000][gc,metaspace] GC(7) Metaspace: 15080K(15424K)->15080K(15424K) NonClass: 13341K(13504K)->13341K(13504K) Class: 1739K(1920K)->1739K(1920K)
